harmonization_omop::OMOP_ID	MEASUREMENT_FREE_TEXT	extracted::IS_POS	DESC	NOTES	COUNT	ratio_COUNT	Npeople	ratio_Npeople
3021601	+	1	Nitrite [Presence] in Urine by Test strip	NA	54874	1.502	32003	NA
3011397	+	1	Hemoglobin [Presence] in Urine by Test strip	NA	49320	1.296	26651	NA
40763086	+	1	Leukocyte esterase [Presence] in Urine by Automated test strip	NA	29249	1.289	18548	NA
3041096	1+	1	Erythrocytes [Presence] in Urine by Automated	NA	24188	1.331	15187	NA
3011397	++	1	Hemoglobin [Presence] in Urine by Test strip	NA	21738	1.318	14056	NA
40763086	3+	1	Leukocyte esterase [Presence] in Urine by Automated test strip	NA	21211	1.245	11780	NA
3029937	+	1	Albumin [Presence] in Urine by Test strip	NA	21147	1.317	12864	NA
3018095	+	1	Leukocytes [#/volume] in Urine	NA	20593	1.42	13563	NA
3035350	+	1	Ketones [Presence] in Urine by Test strip	NA	20166	1.452	16219	NA
3009261	+++	1	Glucose [Presence] in Urine by Test strip	NA	20046	1.582	9747	NA
3041096	+	1	Erythrocytes [Presence] in Urine by Automated	NA	19368	1.284	12678	NA
40763086	+++	1	Leukocyte esterase [Presence] in Urine by Automated test strip	NA	19290	1.268	11241	NA
40763086	++	1	Leukocyte esterase [Presence] in Urine by Automated test strip	NA	19110	1.24	12649	NA
40763086	1+	1	Leukocyte esterase [Presence] in Urine by Automated test strip	NA	18557	1.218	13158	NA
40763086	2+	1	Leukocyte esterase [Presence] in Urine by Automated test strip	NA	15987	1.269	11048	NA
3011397	+++	1	Hemoglobin [Presence] in Urine by Test strip	NA	15965	1.256	10647	NA
3011397	+*	1	Hemoglobin [Presence] in Urine by Test strip	NA	15888	1.04	6837	NA
3021601	1+	1	Nitrite [Presence] in Urine by Test strip	NA	15678	1.196	8828	NA
3041096	3+	1	Erythrocytes [Presence] in Urine by Automated	NA	14242	1.233	9073	NA
3009261	3+	1	Glucose [Presence] in Urine by Test strip	NA	12431	1.785	6259	NA
3029937	++	1	Albumin [Presence] in Urine by Test strip	NA	12219	1.344	6996	NA
3041096	2+	1	Erythrocytes [Presence] in Urine by Automated	NA	12141	1.31	8732	NA
3029937	1+	1	Albumin [Presence] in Urine by Test strip	NA	11010	1.388	7345	NA
3045414	+	1	Leukocytes [Presence] in Urine	NA	10831	2.318	7343	NA
3018095	+++	1	Leukocytes [#/volume] in Urine	NA	10715	1.416	6336	NA
3009261	+	1	Glucose [Presence] in Urine by Test strip	NA	10310	1.442	6489	NA
40763086	+*	1	Leukocyte esterase [Presence] in Urine by Automated test strip	NA	10002	1.062	5472	NA
3021601	++	1	Nitrite [Presence] in Urine by Test strip	NA	9768	1.495	6740	NA
3018095	++	1	Leukocytes [#/volume] in Urine	NA	8975	1.466	6478	NA
3009261	++	1	Glucose [Presence] in Urine by Test strip	NA	7881	1.641	5247	NA
3041096	++	1	Erythrocytes [Presence] in Urine by Automated	NA	7398	1.246	5423	NA
3041096	+++	1	Erythrocytes [Presence] in Urine by Automated	NA	7329	1.195	5112	NA
40763086	+++*	1	Leukocyte esterase [Presence] in Urine by Automated test strip	NA	7137	1.034	3428	NA
40763086	++*	1	Leukocyte esterase [Presence] in Urine by Automated test strip	NA	6930	1.052	3872	NA
3021601	+*	1	Nitrite [Presence] in Urine by Test strip	NA	6670	1.011	3081	NA
3029937	2+	1	Albumin [Presence] in Urine by Test strip	NA	6076	1.356	3827	NA
3029937	+*	1	Albumin [Presence] in Urine by Test strip	NA	6010	1.154	3894	NA
3011397	++*	1	Hemoglobin [Presence] in Urine by Test strip	NA	5714	1.049	3405	NA
