harmonization_omop::OMOP_ID	THRESHOLD	SIDE	QC_NOTES	MISC
3000963	500	>	IMPLAUSIBLE_VALUE	NA
3010813	2000	>	IMPLAUSIBLE_VALUE	NA
3026361	20	>	IMPLAUSIBLE_VALUE	NA
3026361	0	<	IMPLAUSIBLE_VALUE	NA
3004410	0	<	IMPOSSIBLE_VALUE	NA
3004410	250	>	WRONG_UNIT	Probably wrong source unit
3004775	5000	>	IMPLAUSIBLE_VALUE	NA
3006571	100	>	IMPOSSIBLE_VALUE	NA
3007461	5000	>	WRONG UNIT	Probably wrong unit for extracted values
3009035	10000	>	WRONG UNIT	Probably wrong unit for extracted values
3009542	100	>	IMPOSSIBLE_VALUE	Impossible values. They can also stem from misreported unit (ratio,5) at source
3009542	0	<=	IMPOSSIBLE_VALUE	Impossible values. Some values are exactly 0 which indicates faulty reading or something of the sort
3010503	1000	>	IMPOSSIBLE_VALUE	NA
3011412	30	>	WRONG UNIT	Probably wrong unit for extracted values
3013742	5	>	WRONG UNIT	Probably wrong unit for extracted values
3016750	2000	>	WRONG UNIT	Probably wrong unit for extracted values
3017766	1	>	WRONG UNIT	Probably wrong unit for extracted values
3019420	1000	>	WRONG UNIT	Probably wrong unit for extracted values
3020717	50	>	WRONG UNIT	Probably wrong unit for extracted values
3022756	1	<	WRONG_UNIT	Wrong unit for harmonized value at source
3022756	5000	>	IMPOSSIBLE_VALUE	NA
3023103	50	>	IMPLAUSIBLE_VALUE	Probably wrong unit for extracted values
3024731	0	<=	IMPOSSIBLE_VALUE	NA
3024731	2000	>	IMPOSSIBLE_VALUE	NA
3025271	10	<	WRONG_UNIT	Probably wrong unit for extracted values
3003338	1000	>	WRONG_UNIT	Probably wrong source unit
3003338	100	<	WRONG_UNIT	Probably wrong source unit
3020564	10000	>	WRONG_UNIT	Probably wrong source unit
3019550	10000	>	WRONG_UNIT	Probably wrong source unit
3020460	1000	>	WRONG_UNIT	Probably wrong source unit
3001308	0	<	IMPOSSIBLE_VALUE	NA
3001308	20	>	IMPLAUSIBLE_VALUE	NA
3023602	15	>	IMPLAUSIBLE_VALUE	NA
3018251	100	>	WRONG_UNIT	Probably wrong source unit
40764999	400	>	IMPLAUSIBLE_VALUE	NA
3002385	0	<	IMPOSSIBLE_VALUE	NA
3002385	100	>	IMPOSSIBLE_VALUE	NA
3013707	200	>	IMPLAUSIBLE_VALUE	NA
3001604	100	>	IMPOSSIBLE_VALUE	NA
3016431	5	>	IMPOSSIBLE_VALUE	NA
3021347	3	>	IMPLAUSIBLE_VALUE	NA
3024561	60	>	IMPOSSIBLE_VALUE	NA
43054903	300	>	IMPLAUSIBLE_VALUE	NA
3020682	10000	>	IMPOSSIBLE_VALUE	NA
3026493	10000	>	WRONG_UNIT	Probably wrong source unit
3019150	0.5	<	WRONG_UNIT	Probably wrong source unit
3019150	2	>	WRONG_UNIT	Probably wrong source unit
3026782	0	<	IMPOSSIBLE_VALUE	NA
3022948	1000	>	IMPOSSIBLE_VALUE	NA
3014576	30	<	IMPLAUSIBLE_VALUE	NA
3016502	102	>	IMPLAUSIBLE_VALUE	NA
46236952	400	>	IMPLAUSIBLE_VALUE	NA
3011960	50000	>	IMPLAUSIBLE_VALUE	NA
3022621	3	<	IMPLAUSIBLE_VALUE	NA
3022621	10	>	IMPOSSIBLE_VALUE	NA
3006217	0	<	IMPOSSIBLE_VALUE	NA
