sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:sourceConceptId,ADD_INFO:sourceName_fi,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
%,%,-1,,2001800190,,UNITfi Level 0,Unit,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,0.00,APPROVED,UNREVIEWED,TAYS,1639612800000,8554,percent,Unit,MAPS_TO,,TAYS,1639612800000,
%/lymf,%/lymf,7691,,2001800293,%/lymf,UNITfi Level 0,Unit,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,0.00,APPROVED,EQUAL,Javier,1717505156975,9228,percent of lymphocytes,Unit,MAPS_TO,Javier: looking at the data seems the same as %,Javier,1717505153181,
%g,%g,1755,,2001800278,%g,UNITfi Level 0,Unit,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,0.00,APPROVED,EQUAL,Javier,1717505248591,9503,gram percent,Unit,MAPS_TO,,Javier,1717505247007,
%hb:sta,%hb:sta,-1,,2001800229,,UNITfi Level 0,Unit,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,0.00,APPROVED,UNREVIEWED,HUS,1639612800000,8737,percent hemoglobin,Unit,MAPS_TO,,HUS,1639612800000,
%l,%l,1754,,2001800279,%l,UNITfi Level 0,Unit,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,0.00,APPROVED,UNREVIEWED,Javier,1717545600000,8554,percent,Unit,MAPS_TO,,Javier,1717545600000,
%m,%m,1755,,2001800280,%m,UNITfi Level 0,Unit,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,0.00,APPROVED,UNREVIEWED,Javier,1717545600000,8554,percent,Unit,MAPS_TO,,Javier,1717545600000,
apl,apl,-1,,2001800118,,UNITfi Level 0,Unit,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,0.00,APPROVED,UNREVIEWED,TAYS,1639612800000,9099,IgA phospholipid unit,Unit,MAPS_TO,,TAYS,1639612800000,
au/ml,au/ml,-1,,2001800130,,UNITfi Level 0,Unit,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,0.00,APPROVED,UNREVIEWED,TAYS,1639612800000,8980,arbitrary unit per milliliter,Unit,MAPS_TO,,TAYS,1639612800000,
bakt/ml,bakt/ml,-1,,2001800249,,UNITfi Level 0,Unit,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,0.00,APPROVED,UNREVIEWED,HUS,1639612800000,9257,per milliliter,Unit,MAPS_TO,,HUS,1639612800000,
bpm,bpm,-1,,2001800268,,UNITfi Level 0,Unit,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,0.00,APPROVED,UNREVIEWED,HUS,1639612800000,8541,per minute,Unit,MAPS_TO,,HUS,1639612800000,
bu/ml,bu/ml,-1,,2001800132,,UNITfi Level 0,Unit,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,0.00,APPROVED,UNREVIEWED,TAYS,1639612800000,44777562,Bethesda unit per milliliter,Unit,MAPS_TO,,TAYS,1639612800000,
cm,cm,-1,,2001800125,,UNITfi Level 0,Unit,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,0.00,APPROVED,UNREVIEWED,TAYS,1639612800000,8582,centimeter,Unit,MAPS_TO,,TAYS,1639612800000,
cmh2o,cmh2o,-1,,2001800259,,UNITfi Level 0,Unit,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,0.00,APPROVED,UNREVIEWED,HUS,1639612800000,44777590,centimeter watercolumn,Unit,MAPS_TO,,HUS,1639612800000,
cp(+37c),cp(+37c),-1,,2001800218,,UNITfi Level 0,Unit,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,0.00,APPROVED,UNREVIEWED,HUS,1639612800000,8479,centipoise,Unit,MAPS_TO,,HUS,1639612800000,
cpm,cpm,-1,,2001800224,,UNITfi Level 0,Unit,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,0.00,APPROVED,UNREVIEWED,TYKS,1638921600000,8483,counts per minute,Unit,MAPS_TO,,TYKS,1638921600000,
e12/l,e12/l,-1,,2001800204,,UNITfi Level 0,Unit,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,0.00,APPROVED,UNREVIEWED,TAYS,1639612800000,8734,trillion per liter,Unit,MAPS_TO,,TAYS,1639612800000,
e6,e6,-1,,2001800105,,UNITfi Level 0,Unit,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,0.00,APPROVED,UNREVIEWED,TAYS,1639612800000,8549,million,Unit,MAPS_TO,,TAYS,1639612800000,
e6/kg,e6/kg,-1,,2001800163,,UNITfi Level 0,Unit,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,0.00,APPROVED,UNREVIEWED,TAYS,1639612800000,9256,per milligram,Unit,MAPS_TO,,TAYS,1639612800000,
e6/l,e6/l,-1,,2001800108,,UNITfi Level 0,Unit,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,0.00,APPROVED,UNREVIEWED,TAYS,1639612800000,9442,million per liter,Unit,MAPS_TO,,TAYS,1639612800000,
e8,e8,-1,,2001800200,,UNITfi Level 0,Unit,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,0.00,APPROVED,UNREVIEWED,TAYS,1639612800000,9443,hundred million,Unit,MAPS_TO,,TAYS,1639612800000,
e8/kg,e8/kg,-1,,2001800215,,UNITfi Level 0,Unit,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,0.00,APPROVED,UNREVIEWED,TAYS,1639612800000,9252,per kilogram,Unit,MAPS_TO,,TAYS,1639612800000,
e9/l,e9/l,-1,,2001800162,,UNITfi Level 0,Unit,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,0.00,APPROVED,UNREVIEWED,TAYS,1639612800000,9444,billion per liter,Unit,MAPS_TO,,TAYS,1639612800000,
eiu,eiu,-1,,2001800155,,UNITfi Level 0,Unit,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,0.00,APPROVED,UNREVIEWED,TAYS,1639612800000,8556,EIA unit,Unit,MAPS_TO,,TAYS,1639612800000,
eu,eu,-1,,2001800202,,UNITfi Level 0,Unit,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,0.00,APPROVED,UNREVIEWED,HUS,1639612800000,8480,Ehrlich unit,Unit,MAPS_TO,,HUS,1639612800000,
eu/ml,eu/ml,-1,,2001800159,,UNITfi Level 0,Unit,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,0.00,APPROVED,UNREVIEWED,HUS,1639612800000,8695,Ehrlich unit per milliliter,Unit,MAPS_TO,,HUS,1639612800000,
fio2%,fio2%,-1,,2001800248,,UNITfi Level 0,Unit,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,0.00,APPROVED,UNREVIEWED,HUS,1639612800000,9230,percent oxygen,Unit,MAPS_TO,,HUS,1639612800000,
