harmonization_omop::OMOP_ID	harmonization_omop::omopQuantity	harmonization_omop::MEASUREMENT_UNIT	NOTES	PREV_SOURCE	PREV_INJECTED
3009542	Volume Fraction	ratio	INJECTION CHANGE: Source mode was '%'	{'%': 0.433, 'NA': 0.1657, 'osuus': 0.4013}	{'%': 0.4336, 'NA': 0.0885, 'ratio': 0.4779}
3000963	Mass Concentration	g/l	Injected matches Source	{'NA': 0.0877, 'g/l': 0.9123}	{'NA': 0.0858, 'g/l': 0.9142}
3010813	Number Concentration	e9/l	Injected matches Source	{'NA': 0.2496, 'e6/l': 0.0001, 'e9/l': 0.7504}	{'NA': 0.2477, 'e6/l': 0.0001, 'e9/l': 0.7523}
3007461	Number Concentration	e9/l	Injected matches Source	{'%': 0.0, 'NA': 0.2341, 'e9/l': 0.7659}	{'%': 0.0, 'NA': 0.2339, 'e9/l': 0.7661}
3026361	Number Concentration	e12/l	Injected matches Source	{'%': 0.0001, 'NA': 0.2497, 'e12/l': 0.7493, 'e6/l': 0.0009, 'e9/l': 0.0}	{'%': 0.0001, 'NA': 0.247, 'e12/l': 0.752, 'e6/l': 0.0009, 'e9/l': 0.0}
3035941	Entitic mass	pg	Injected matches Source	{'NA': 0.0852, 'pg': 0.9129, 'pg/cell': 0.0019}	{'NA': 0.0849, 'pg': 0.9132, 'pg/cell': 0.0019}
3024731	Entitic mean volume	fl	Injected matches Source	{'NA': 0.0857, 'fl': 0.9143}	{'NA': 0.0853, 'fl': 0.9147}
3020564	Substance Concentration	umol/l	Injected matches Source	{'NA': 0.0808, 'mmol/l': 0.0, 'umol/l': 0.9192}	{'NA': 0.0804, 'mmol/l': 0.0, 'umol/l': 0.9196}
3023103	Substance Concentration	mmol/l	Injected matches Source	{'NA': 0.1028, 'mmol/l': 0.8972}	{'NA': 0.1028, 'mmol/l': 0.8972}
3019550	Substance Concentration	mmol/l	Injected matches Source	{'NA': 0.0907, 'mmol/l': 0.9093, 'mol/l': 0.0}	{'NA': 0.0907, 'mmol/l': 0.9093, 'mol/l': 0.0}
3003338	Entitic Mass/volume	g/l	Injected matches Source	{'NA': 0.0505, 'g/l': 0.9495}	{'NA': 0.0505, 'g/l': 0.9495}
3002385	DistWidth	%	Injected matches Source	{'%': 0.9234, 'NA': 0.0766}	{'%': 0.9236, 'NA': 0.0764}
3020460	Mass Concentration	mg/l	Injected matches Source	{'NA': 0.372, 'g/l': 0.0, 'mg/l': 0.628, 'mg/ml': 0.0}	{'NA': 0.3651, 'g/l': 0.0, 'mg/l': 0.6349, 'mg/ml': 0.0}
