TYPE	TEST_NAME	BIMODAL_STATUS	BIMODAL_SEP	BIMODAL_BC	BIMODAL_DIP_P	SCORE_GLOBAL	SCORE_SPLIT	SCORE_IMPROVEMENT	SUB_DIST	CUTOFF	UNIT	UNIT_PREVALENCE	PREVALENCE_DICT	N_CANDIDATE	N_TARGET	CAND_DECILES	TARG_DECILES	KS_STAT	KS_MLOGP	KS_PASS	T_STAT	T_MLOGP	T_PASS	MAD_DIST	MAD_THRESHOLD	MAD_PASS	OUTCOME	NOTES
unambiguous	b-eryt	NA	NA	NA	NA	NA	NA	NA	all	inf	e12/l	99.99	{e12/l:99.99,%:0.01,e9/l:0}	2702234	8026175	[3.25,3.63,3.9,4.1,4.28,4.44,4.6,4.79,5.04]	[3.3,3.7,3.99,4.2,4.35,4.5,4.67,4.83,5.1]	0.05101	300	PASS	-81.68	300	FAIL	0.07	1.35	PASS	PASS	PASS_at_KS_(2/3)
unambiguous	p-kol-hdl	NA	NA	NA	NA	NA	NA	NA	all	inf	mmol/l	100	{mmol/l:100}	61142	221234	[0.97,1.09,1.2,1.3,1.4,1.51,1.64,1.8,2.03]	[0.96,1.09,1.2,1.3,1.4,1.51,1.63,1.79,2.02]	0.006651	1.542	PASS	3.266	2.963	FAIL	0	0.84	PASS	PASS	PASS_at_KS_(2/3)
unambiguous	p-t4v	NA	NA	NA	NA	NA	NA	NA	all	inf	pmol/l	100	{pmol/l:100}	20621	90249	[12.2,13.4,14.2,14.9,15.6,16.3,17.2,18.3,20]	[12.7,13.8,14.6,15.3,16,16.7,17.5,18.5,20]	0.05243	39.81	PASS	-10.15	23.44	FAIL	0.4	5.7	PASS	PASS	PASS_at_KS_(2/3)
unambiguous	s-iglck-v	NA	NA	NA	NA	NA	NA	NA	all	inf	mg/l	100	{mg/l:100}	7877	39042	[9.6,13.9,18.4,23.5,30,40.1,55.8,89.68,220]	[7.8,12.1,16.2,21,27.1,35.7,50.3,81.2,172]	0.05025	14.1	PASS	3.239	2.92	FAIL	2.9	49.8	PASS	PASS	PASS_at_KS_(2/3)
unambiguous	b-crp	NA	NA	NA	NA	NA	NA	NA	all	inf	mg/l	100	{mg/l:100}	3350	2366	[5,7,9,12,17,24,35,54,87]	[6,8,9,13,18,25,35,55,90]	0.09378	10.34	PASS	-1.146	0.5987	PASS	1	33	PASS	PASS	PASS_at_KS_(3/3)
unambiguous	s-tfr	NA	NA	NA	NA	NA	NA	NA	all	inf	mg/l	99.99	{mg/l:99.99,mg:0.01}	2018	75736	[1.8,2.2,2.6,3.1,3.6,4.2,5.1,6.3,8.1]	[1,1.2,1.5,1.9,2.4,2.8,3.3,4.1,5.6]	0.2886	144.8	PASS	20.34	83.32	FAIL	1.2	3.3	PASS	PASS	PASS_at_KS_(2/3)
unambiguous	s-mkomp-4	NA	NA	NA	NA	NA	NA	NA	all	inf	g/l	100	{g/l:100}	1434	25572	[0,0,0,0,0,0,0,0,0]	[0,0,0,0,0,0,0,0,0]	0.000743	-0	FAIL	-1.039	0.5247	PASS	0	0	PASS	PASS	PASS_at_T_(2/3)
unambiguous	b-crp-pik	NA	NA	NA	NA	NA	NA	NA	all	inf	mg/l	100	{mg/l:100}	1059	353	[7,10,14,19,25,34,46,60,97]	[9,13,17,23,30,40,51.8,72,105.8]	0.08782	1.486	PASS	-2.634	2.061	FAIL	5	54	PASS	PASS	PASS_at_KS_(2/3)
unambiguous	s-psa-suh	NA	NA	NA	NA	NA	NA	NA	all	inf	%	99.24	{%:99.24,ug/l:0.75,ug:0.01}	699	15340	[0.33,7.684,10,11,13,14,15,20,28]	[11,14.18,17,19,21,24,26.95,30.83,37]	0.4731	137.3	FAIL	-23.09	89.42	FAIL	8	18	PASS	PASS	PASS_at_MAD_(1/3)
unambiguous	p-cl	NA	NA	NA	NA	NA	NA	NA	all	inf	mmol/l	100	{mmol/l:100,%:0,kpa:0}	503	441201	[96.2,100,102,104,105,106,107,108,110]	[98,101,103,104,105,107,108,109,111]	0.07716	2.32	PASS	-3.598	3.453	FAIL	0	9	PASS	PASS	PASS_at_KS_(2/3)
