TEST_NAME	TEST_ID	COUNT	top_prevalence	has_unit_data
b-eryt	1341	2046474	100.0	True
b-leuk	2218	2031768	100.0	True
b-trom	2791	1835388	100.0	True
b-hkr	1358	1108179	52.67	True
p-tt-inr	4520	827663	92.6	True
b-neut	3238	560729	99.5	True
p-inr	4520	465614	100.0	True
ab-ph	1527	375883	98.69	True
b-hkr	3001358	364840	84.79	True
b-leuk	3002218	348425	100.0	True
b-eryt	3001341	339178	100.0	True
e-mch	3001558	338725	100.0	True
e-mcv	3001357	338615	100.0	True
b-trom	3002791	338540	100.0	True
b-hb	3001552	322284	100.0	True
b-eos	1330	320814	99.8	True
b-monos	3230	310738	99.57	True
b-hb	1552	306395	100.0	True
b-baso	3157	301099	99.84	True
b-ly	3223	298815	99.33	True
u-ph	1530	291005	98.78	True
b-erblast	8518	290470	100.0	True
s-ph	8523	283517	0.0	False
p-k	1999	269981	100.0	True
e-mcv	1357	247360	100.0	True
e-mch	1558	243479	99.77	True
p-inr	3004520	234554	0.0	False
p-k	3001999	229082	100.0	True
p-na	3003622	222257	100.0	True
p-na	3622	192896	100.0	True
b-hb	1001552	187110	100.0	True
b-hkr	1001358	186638	100.0	True
b-leuk	1002218	186134	100.0	True
b-eryt	1001341	185621	100.0	True
e-mcv	1001357	185288	100.0	True
b-trom	1002791	185060	100.0	True
e-mch	1001558	184982	100.0	True
e-mchc	3001557	176587	100.0	True
u-suhti	2715	174960	92.52	True
p-inr	6004520	171649	0.0	False
pt-gfreepi	645140	163298	0.0	False
p-alat	1024	161208	100.0	True
vb-ph	1531	159518	100.0	True
e-rdw	619260	158705	100.0	True
b-hba1c	6128	147505	100.0	True
fp-gluk	1468	147429	99.97	True
p-krea	1002143	145767	100.0	True
u-ph	21701	143491	0.0	False
u-leuk	2221	139384	99.76	True
u-eryt	1344	137185	99.44	True
u-lier	19006	136425	100.0	True
p-tt-inr	3004520	133612	100.0	True
u-levyep	20524	133277	100.0	True
u-pienep	20525	133093	100.0	True
pt-gfreepi	5589849	129232	100.0	True
p-krea	605262	121923	100.0	True
p-na	1003622	120981	100.0	True
p-k	1001999	120976	100.0	True
p-tsh	4831	119706	97.99	True
ph	595	118639	0.0	False
p-crp	4594	116644	100.0	True
p-krea	4600	114156	100.0	True
p-alat	1001026	111476	100.0	True
b-erybla	19978	109544	100.0	True
fp-gluk	3001468	109118	100.0	True
pt-gfreepi	13470	108305	96.59	True
pt-gfre	6354	108215	100.0	True
pt-gfreepi	6002	106731	0.0	False
e-rdw	19976	103098	100.0	True
cb-ph	1528	99671	100.0	True
p-inr	604913	90412	0.0	False
p-alat	3001024	86716	100.0	True
pt-gfreepi	6354	82046	100.0	True
fp-kol-ldl	4599	81995	100.0	True
fp-gluk	1001469	77927	100.0	True
p-tsh	1002832	76678	100.0	True
b-hkr	6001358	75405	100.0	True
b-hb	6001552	75081	100.0	True
