TEST_NAME	total_count	top_prevalence
-cd4-solujensuhdecd8-soluihin	665	0.0
-cdt	239	100.0
-crppikatesti	196	0.0
-cyp4f2	1093	0.0
-glutamyylitransferaasi-desialotransferriini-indeksi	720	0.0
-h-ind	39809	0.0
-i-ind	9849	0.0
-kt/v,daugirdaksenkaava	176	0.0
-l-ind	15069	0.0
-nt	5011	100.0
-ph	903	0.0
-s.yht.	844	0.0
-slco1b1	869	0.0
-transf	269	100.0
-trfesat	5306	100.0
120mp-glu	228	100.0
14272	5212	0.0
14593	144	0.0
5400	373	0.0
6820	170	0.0
:glutamyylitransferaasi-desialotransferriini-indeksi	268	0.0
ab-ahco3vt	157	100.0
ab-be	52398	99.98203824573457
ab-be-vt	210	0.0
ab-caionvt	122	100.0
ab-emäsylimäärä	3580	100.0
ab-hco3-st	2478	100.0
ab-pco2	3058	99.99767495094834
ab-pco2-vt	170	0.0
ab-ph	380522	98.68999999999998
ab-ph(t)	4545	0.0
ab-ph-vt	168	0.0
ab-po2	3071	99.99763920547053
ab-po2-vt	179	0.0
as-eryt	767	100.0
as-leuk	773	100.0
astmatesti	136	0.0
b-6-me-mp	488	0.0
b-6-tgn	482	0.0
b-angap	138	100.0
b-b-cd19	1310	100.0
b-ba/abs	1306	100.0
b-baso	357874	99.8588409835393
b-basof	19444	100.0
b-be	15770	100.0
b-co	483	100.0
b-cr	456	100.0
b-crp	3350	100.0
b-crp-o	3079	100.0
b-crp-os	462	0.0
b-crp-ospkl	477	0.0
b-crp-pik	1042	0.0
b-crp-pika	798	0.0
b-crp-v	202	100.0
b-crp-vt	3956	100.0
b-cya	116	100.0
b-eos	381192	99.82971040616191
b-eosin	19436	100.0
b-eosinofiilit	250	100.0
b-erblast	314346	100.0
b-erybla	169159	100.0
b-eryt	2702180	100.0
b-erytroblastit	10379	100.0
b-erytrosyytit	105	100.0
b-erytrosyytit,tilavuusosuus	10924	77.48
b-erytrosyytit,tilavuusosuus,pikahoitoyksiköt	196	0.0
b-fidd-o	102	100.0
b-fidd-vt	150	0.0
b-fosfatidyylietanoli	344	0.0
b-ghb-a1c	38232	100.0
b-ghb-a1c,tk	5295	0.0
b-ghba1c/p	183	0.0
b-ghba1cp	3927	100.0
b-gluk	295	0.0
b-gluk-vt	154	0.0
b-glukoosi,hoitoyksikönvieritesti,kokoveri	521	0.0
b-hb	895386	100.0
b-hb,tk	528	0.0
b-hb-a1c	18829	99.88999628233044
b-hb-co	125	100.0
b-hb-hoi	136	0.0
b-hb-met	133	100.0
b-hb-pika	281	0.0
b-hb-vt	1252	100.0
b-hba1c	355680	100.0
b-hba1c,t	4683	0.0
b-hba1c,tk	6492	0.0
b-hba1c-om	123	0.0
b-hba1c-oma	239	0.0
b-hba1c/pi	961	0.0
b-hba1c/pika	867	0.0
b-hba1cvt	3104	83.51364179104479
b-hkr	1750455	66.66232347980981
b-hkrhoi	155	0.0
b-inr-pik	5420	100.0
b-inr-vt	283	0.0
b-inrpika	1503	100.0
b-inrvieri	218	0.0
b-k	420	0.0
b-keto/pik	358	0.0
b-konedif,baso	395	0.0
b-konedif,eos	395	0.0
b-konedif,lymf	395	0.0
b-konedif,monos	395	0.0
b-konedif,neutro	395	0.0
b-krea	421	0.0
b-la	156187	100.0
b-laktevt	563	100.0
b-leuc-v	538	0.0
b-leuk	2609979	100.0
b-leuk-hoi	105	0.0
b-leuk-vt	806	100.0
b-leuk/pi	367	0.0
b-leukosyytit	5619	100.0
