ID	LOW_LIMIT	HIGH_LIMIT	LOW_PROBLEM	HIGH_PROBLEM
1002102	-inf	inf	0	0
1175426	57.0	98.0	0	0
1175715	-inf	0.58	0	1
3000012	-inf	inf	0	0
3000034	-inf	3740.3	0	0
3000060	0.06	0.18	1	0
3000081	1.2	2544000.0	0	0
3000208	11.0	101.0	0	0
3000242	-inf	351.0	0	0
3000330	1.0	1.04	0	0
3000475	0.0	115140.0	0	0
3000515	87.0	124.0	0	0
3000570	208.0	inf	0	0
3000620	0.73	1.41	0	0
3000850	-inf	9.8	0	0
3000919	10.0	inf	1	0
21491979	-inf	inf	0	0
21494814	15.0	35.0	0	0
21494815	33.5	57.6	0	0
3000963	118.0	167.0	0	0
3001122	7.0	353.0	0	0
3001186	11.1	24.1	0	0
3001308	-inf	inf	0	0
3001405	433.0	433.0	1	1
3001467	-inf	65.0	0	0
3001604	0.2	0.86	0	0
3001784	0.0	200.0	0	0
3001788	33.0	518.0	0	0
3001893	-inf	1.0	0	1
3002030	20.0	51.0	0	0
3002032	-2.8	2.5	0	0
3002079	93.0	228.0	0	0
3002109	-inf	4.0	0	0
3002173	95.0	173.0	0	0
3002179	0.0	0.0	0	0
3002385	-inf	15.0	0	0
3002434	-inf	6.0	0	0
3002582	-inf	18.0	0	0
3002670	-inf	0.83	0	1
3003031	-inf	2.3	0	0
3003129	-2.4	2.4	0	0
3003181	-inf	inf	0	0
3003245	0.2	0.52	0	0
3003329	-inf	inf	0	0
3003338	319.0	365.0	0	0
3003396	-2.5	2.5	0	0
3003434	-inf	76.0	0	0
3003458	0.72	1.69	0	0
3003785	-inf	4.7	0	0
3003888	-inf	0.78	0	1
3003985	-inf	0.71	0	1
3004119	115.0	166.0	0	0
3004248	14.0	116.0	0	0
3004410	0.0	42.0	0	0
3004490	23.0	25.0	0	0
3004529	53.0	73.5	1	0
3004775	-inf	inf	0	0
3004789	1.76	3.6	0	0
3004809	0.0	4.0	0	0
3004905	-inf	527.0	0	0
3004915	-inf	15.6	0	0
3005013	-inf	inf	0	0
3005033	-inf	inf	0	0
3005082	-inf	inf	0	0
3005136	-inf	0.3	0	0
3005229	4.7	10.4	0	0
3005322	-inf	79.0	0	0
3005532	74.0	74.0	1	1
3005715	3.1	inf	0	0
3005719	7.2	14.3	0	0
3005757	70.0	137.0	0	0
3005772	-inf	5.0	0	0
3005785	0.3	4.0	0	0
3005791	-inf	17.5	0	1
3005895	-inf	137.0	0	1
3006109	66.0	137.0	0	0
3006140	3.0	21.0	0	0
3006184	125.0	163.0	0	0
3006217	0.0	2.0	0	0
3006245	0.0	inf	0	0
3006270	-inf	inf	0	0
3006315	0.0	0.8	0	0
3006442	50.0	96.0	0	0
3006504	0.0	6.0	0	0
3006571	-inf	98.0	0	0
3006576	25.0	25.0	1	1
3006588	-inf	30.0	0	0
3006653	61.0	223.0	0	0
3006923	1.0	49.0	0	0
3006999	-inf	3.3	0	0
3007080	-inf	1370.0	0	0
3007164	0.64	4.0	0	0
3007220	35.0	271.0	0	0
3007302	107.0	172.0	1	0
3007368	13.0	32.0	0	0
3007449	0.0	87.0	0	0
3007461	153.0	355.0	0	0
3007566	40.0	80.0	0	0
3007628	22.0	28.0	0	0
3007778	1.32	1.3900000000000001	0	1
3007821	4.0	6.1	0	0
3007847	163.0	574.0	0	0
3007930	-inf	1.6	0	0
3008037	0.6	1.4	0	1
3008152	21.8	27.0	0	0
3008230	-inf	16.0	0	0
3008295	284.0	294.0	0	0
3008364	1.1	2.1	0	0
3008401	-inf	0.28	0	0
3008486	9.0	23.0	0	0
3008714	-inf	inf	0	0
3008832	-inf	inf	0	0
3009035	36.0	inf	0	0
3009041	-inf	9.0	0	0
3009201	0.35	6.37	0	0
3009214	0.86	99.0	0	0
3009261	-inf	inf	0	0
3009306	-inf	6.0	0	0
3009343	7.38	7.42	0	1
3009445	-inf	12.0	0	1
3009466	356.0	675.0	0	0
3009508	-inf	1941.0	0	0
3009542	0.35	14600.0	0	0
3009613	959.0	1000.0	1	0
