harmonization_omop::OMOP_ID	extracted::TEST_OUTCOME_TEXT	COUNT	extracted::TEST_OUTCOME
3006441	<10	575	N
3006441	<11	313	N
3006441	<11mpl	278	N
3006441	<10mpl	183	N
3006441	<1	4	N
3006441	<1mpl	3	N
3006441	>450	1	A
3006441	>450mpl	1	A
3009445	<2	13936	N
3009445	<2iu/ml	5253	N
3009445	<1iu/ml	1148	N
3009445	<1	1019	N
3009445	<0.2	89	N
3009445	>177	61	A
3009445	>170iu/ml	51	A
3009445	>170	50	A
3009445	<2u/ml	38	N
3009445	<0.6	18	N
3009445	<2iu/l	13	N
3009445	<0	5	N
3009445	>177iu/ml	5	A
3009445	<3.3	1	N
3009445	<3.5	1	N
3009445	>177u/ml	1	A
3009445	>37	1	NA
3014300	<7	601	N
3014300	<7u/ml	194	N
3014300	<3u/ml	3	N
3018658	<7	614	N
3018658	<4sgu	445	N
3018658	<4	236	N
3018658	<1u/ml	231	N
3018658	<7u/ml	196	N
3018658	<1	44	N
3018658	<15	6	N
3018658	>160	2	A
3018658	>100	1	A
3025245	<7	1925	N
3025245	<1	793	N
3025245	<1u/ml	716	N
3025245	<7u/ml	594	N
3025245	<0.6	102	N
3025245	>240u/ml	10	A
3025245	>240	9	A
3025245	<0.4	7	N
3025245	<0.3	2	N
3025245	>320	2	A
3025245	<0.3u	1	N
3025245	<0.3u/ml	1	N
3025245	<0.6u/ml	1	N
3036086	<7	1836	N
3036086	<1u/ml	846	N
3036086	<1	598	N
3036086	<7u/ml	552	N
3036086	<0.3	312	N
3036086	<0.3u/ml	2	N
3039162	<7	1677	N
3039162	<7u/ml	479	N
3039162	<1	437	N
3039162	<1u/ml	224	N
3039162	>240	145	A
3039162	<0.4	134	N
3039162	>200	35	N
3039162	>200u/ml	33	A
3039162	>240u/ml	29	A
3039162	<0.3u	3	N
3039162	<0.3	2	N
3039162	<0.4u/ml	2	N
3044355	<1u/ml	2959	N
3044355	<1	843	N
3044355	<4	660	N
3044355	<4u/ml	598	N
3044355	<4sgu	177	N
3044355	>100u/ml	64	A
3044355	<15	11	N
3044355	<0.6u/ml	3	N
3044355	>100	3	A
3044355	>500	1	A
3049804	<3.5	6862	N
3049804	<3.5iu/ml	5120	N
3049804	<1iu/ml	1217	N
3049804	<1	996	N
3049804	>130iu/ml	24	A
3049804	>134	18	A
3049804	<0.2	17	N
3049804	<3.5iu/l	13	N
3049804	>130	10	A
3049804	<0.20	2	N
3049804	>134iu/ml	2	A
3049804	<2	1	N
40762119	<7	784	N
40762119	<7u/ml	465	N
40762119	<1	143	N
40762119	<0.3	2	N
40762119	>200u/ml	1	A
40766048	<1u/ml	758	N
40766048	<1	238	N
40766048	>240	2	A
40766048	>240u/ml	1	A
3000620	<0.15g/l	2	A
3000620	<0.05	1	A
3000620	<0.18	1	A
3002434	<10	3614	N
3002434	<10titre	1021	N
3002434	<1	907	N
3002434	<0.5	271	N
3002434	<1iu/ml	237	N
3002434	<0.5kiu/l	134	N
3002434	<10iu/ml	85	N
3002434	>379	13	A
3002434	<1u/ml	10	N
3002434	>379iu/ml	6	A
3002434	<10u/ml	4	N
3002434	>400	4	A
3002434	<0.5iu	3	N
3002434	<0.5iu/ml	3	N
3002434	<1titre	3	N
3002434	>320titre	2	A
3002434	<10kiu/l	1	N
3002434	<1kiu/l	1	N
3002434	>1280	1	A
3002434	>1280titre	1	A
3004616	<1u/ml	12	N
3004616	>240u/ml	2	A
3006999	<5	3447	N
3006999	<5u/ml	574	N
3006999	<1	211	N
3006999	<1u/ml	147	N
3006999	>240	34	A
3006999	<5titre	26	N
3006999	>200	24	A
3006999	>240u/ml	19	A
3006999	>200u/ml	8	A
3006999	<0.3	7	N
3009041	<1u/ml	2105	N
3009041	<1	589	N
3009041	<4u/ml	461	N
3009041	<6gpl	404	N
3009041	<4	260	N
3009041	<6	213	N
3009041	<1gpl	79	N
3009041	>100u/ml	60	A
3009041	<5	5	N
3009041	>100	5	A
3016921	<7	3554	N
3016921	<1	680	N
3016921	<7u/ml	646	N
