harmonization_omop::OMOP_ID	MEASUREMENT_FREE_TEXT	extracted::IS_POS	DESC	COUNT	ratio_COUNT	Npeople	ratio_Npeople
3011397	+	1	Hemoglobin [Presence] in Urine by Test strip	49320	1	26651	1
3014051	+	1	Protein [Presence] in Urine by Test strip	31778	8.129	19597	8.058
40763086	+	1	Leukocyte esterase [Presence] in Urine by Automated test strip	29249	1	18548	1
3021601	+	1	Nitrite [Presence] in Urine by Test strip	27005	0.492	15250	0.477
3041096	1+	1	Erythrocytes [Presence] in Urine by Automated	24188	1	15187	1
3011397	++	1	Hemoglobin [Presence] in Urine by Test strip	21738	1	14056	1
40763086	3+	1	Leukocyte esterase [Presence] in Urine by Automated test strip	21211	1	11780	1
3029937	+	1	Albumin [Presence] in Urine by Test strip	21147	1	12864	1
3018095	+	1	Leukocytes [#/volume] in Urine	20593	1	13563	1
3035350	+	1	Ketones [Presence] in Urine by Test strip	20166	1	16219	1
3009261	+++	1	Glucose [Presence] in Urine by Test strip	20046	1	9747	1
3041096	+	1	Erythrocytes [Presence] in Urine by Automated	19368	1	12678	1
40763086	+++	1	Leukocyte esterase [Presence] in Urine by Automated test strip	19290	1	11241	1
40763086	++	1	Leukocyte esterase [Presence] in Urine by Automated test strip	19110	1	12649	1
40763086	1+	1	Leukocyte esterase [Presence] in Urine by Automated test strip	18557	1	13158	1
40763086	2+	1	Leukocyte esterase [Presence] in Urine by Automated test strip	15987	1	11048	1
3011397	+++	1	Hemoglobin [Presence] in Urine by Test strip	15965	1	10647	1
3011397	+*	1	Hemoglobin [Presence] in Urine by Test strip	15888	1	6837	1
3041096	3+	1	Erythrocytes [Presence] in Urine by Automated	14242	1	9073	1
3009261	3+	1	Glucose [Presence] in Urine by Test strip	12431	1	6259	1
3029937	++	1	Albumin [Presence] in Urine by Test strip	12219	1	6996	1
3041096	2+	1	Erythrocytes [Presence] in Urine by Automated	12141	1	8732	1
3029937	1+	1	Albumin [Presence] in Urine by Test strip	11010	1	7345	1
3014051	++	1	Protein [Presence] in Urine by Test strip	10898	8.782	7311	8.632
3045414	+	1	Leukocytes [Presence] in Urine	10831	1	7343	1
3018095	+++	1	Leukocytes [#/volume] in Urine	10715	1	6336	1
3014051	1+	1	Protein [Presence] in Urine by Test strip	10319	NA	6274	NA
3009261	+	1	Glucose [Presence] in Urine by Test strip	10310	1	6489	1
40763086	+*	1	Leukocyte esterase [Presence] in Urine by Automated test strip	10002	1	5472	1
3018095	++	1	Leukocytes [#/volume] in Urine	8975	1	6478	1
3009261	++	1	Glucose [Presence] in Urine by Test strip	7881	1	5247	1
3041096	++	1	Erythrocytes [Presence] in Urine by Automated	7398	1	5423	1
3041096	+++	1	Erythrocytes [Presence] in Urine by Automated	7329	1	5112	1
40763086	+++*	1	Leukocyte esterase [Presence] in Urine by Automated test strip	7137	1	3428	1
