TEST_NAME_ABBREVIATION	MEASUREMENT_UNIT	harmonization_omop::OMOP_ID	harmonization_omop::OMOP_QUANTITY	harmonization_omop::MAPPING_STATUS
e-mcv	fl	3024731	Entitic mean volume	APPROVED
e-mch	pg	3035941	Entitic mass	APPROVED
b-hb	g/l	3000963	Mass Concentration	APPROVED
b-eryt	e12/l	3026361	Number Concentration	APPROVED
b-trom	e9/l	3007461	Number Concentration	APPROVED
b-leuk	e9/l	3010813	Number Concentration	APPROVED
e-mchc	g/l	3003338	Entitic Mass/volume	APPROVED
p-krea	umol/l	3020564	Substance Concentration	APPROVED
p-k	mmol/l	3023103	Substance Concentration	APPROVED
e-rdw	%	3002385	DistWidth	APPROVED
b-hkr	ratio	3009542	Volume Fraction	APPROVED
b-hkr	%	3009542	Volume Fraction	APPROVED
p-crp	mg/l	3020460	Mass Concentration	APPROVED
p-alat	u/l	3006923	Catalytic Concentration	APPROVED
pt-gfreepi	ml/min/173m2	40764999	Volume Rate/Area	APPROVED
pt-ekg-12		3044889	-	APPROVED
-cv19nho		706163	Presence or Threshold	APPROVED
p-afos	u/l	3035995	Catalytic Concentration	APPROVED
fp-gluk	mmol/l	3018251	Substance Concentration	APPROVED
b-hba1c	mmol/mol	3004410	Mass fraction	APPROVED
b-neut	e9/l	3013650	Number Concentration	APPROVED
fp-kol-ldl	mmol/l	3001308	Substance Concentration	APPROVED
fp-kol	mmol/l	3019900	Substance Concentration	APPROVED
p-tsh	mu/l	3009201	Arbitrary Concentration	APPROVED
fp-kol-hdl	mmol/l	3023602	Substance Concentration	APPROVED
fp-trigly	mmol/l	3048773	Substance Concentration	APPROVED
b-la	mm/h	3013707	Velocity (distance/time)	APPROVED
p-gluk	mmol/l	3013826	Substance Concentration	APPROVED
pt-gfre	ml/min/173m2	40764999	Volume Rate/Area	APPROVED
p-bil	umol/l	3006140	Substance Concentration	APPROVED
b-eos	e9/l	3013115	Number Concentration	APPROVED
p-t4-v	pmol/l	3008486	Substance Concentration	APPROVED
b-baktvi		3023368	Presence or Identity	APPROVED
b-baso	e9/l	3006315	Number Concentration	APPROVED
b-erybla	e9/l	3021589	Number Concentration	APPROVED
b-monos	e9/l	3001604	Number Concentration	APPROVED
l-eos	%	3006504	Number Fraction	APPROVED
u-baktjvi		3026008	Presence or Identity	APPROVED
l-baso	%	3022096	Number Fraction	APPROVED
p-gt	u/l	3026910	Catalytic Concentration	APPROVED
b-ly	e9/l	3019198	Number Concentration	APPROVED
p-alb	g/l	3024561	Mass Concentration	APPROVED
u-hb-o		3011397	Presence or Threshold	APPROVED
pt-ekg-atk		3013512	Finding	APPROVED
u-prot-o		3014051	Presence or Threshold	APPROVED
s-vrab-o		3001079	Presence or Threshold	APPROVED
p-vrab-o	estimate	3001079	Presence or Threshold	APPROVED
fp-krea	umol/l	3020564	Substance Concentration	APPROVED
ts-pad-1		40768804	Finding	APPROVED
e-vrtark		46236098	Type	APPROVED
p-asat	u/l	3013721	Catalytic Concentration	APPROVED
p-tnt	ng/l	3019800	Mass Concentration	APPROVED
s-ca-ion	mmol/l	3016431	Substance Concentration	APPROVED
l-neut	%	3018010	Number Fraction	APPROVED
p-tt-inr	inr	3032080	Relative time	APPROVED
l-monos	%	3019069	Number Fraction	APPROVED
b-tromb	e9/l	3007461	Number Concentration	APPROVED
fb-leuk	e9/l	3010813	Number Concentration	APPROVED
l-neut(a)	%	3018010	Number Fraction	APPROVED
l-mono(a)	%	3019069	Number Fraction	APPROVED
p-amyl	u/l	3016771	Catalytic Concentration	APPROVED
l-lymf(a)	%	3002030	Number Fraction	APPROVED
s-alat	u/l	3006923	Catalytic Concentration	APPROVED
u-krea	mmol/l	3009508	Substance Concentration	APPROVED
e-aborh		3003694	Type	APPROVED
p-tt	%	3033658	Relative time	APPROVED
fs-trigly	mmol/l	3048773	Substance Concentration	APPROVED
u-eryt	e6/l	3002582	Number Concentration	APPROVED
u-leuk	e6/l	3018095	Number Concentration	APPROVED
fs-kol-hdl	mmol/l	3023602	Substance Concentration	APPROVED
fs-kol-ldl	mmol/l	3001308	Substance Concentration	APPROVED
fs-kol	mmol/l	3019900	Substance Concentration	APPROVED
ps-strvi		3024135	Presence or Threshold	APPROVED
p-cl	mmol/l	3014576	Substance Concentration	APPROVED
s-d-25	nmol/l	40771025	Substance Concentration	APPROVED
p-psa	ug/l	3013603	Mass Concentration	APPROVED
fs-krea	umol/l	3020564	Substance Concentration	APPROVED
u-chtrnho		3024950	Presence or Threshold	APPROVED
ab-pco2	kpa	3027946	Partial pressure	APPROVED
ab-po2	kpa	3027801	Partial pressure	APPROVED
p-ferrit	ug/l	3001122	Mass Concentration	APPROVED
-mrsavi		3019902	Presence or Threshold	APPROVED
s-hbsag		3019284	Presence or Threshold	APPROVED
s-t4-v	pmol/l	3008486	Substance Concentration	APPROVED
p-ck	u/l	3007220	Catalytic Concentration	APPROVED
u-gcnho		3003510	Presence or Threshold	APPROVED
p-ca-ion.	mmol/l	3016431	Substance Concentration	APPROVED
pu-baktvi1		3042936	Presence or Identity	APPROVED
s-tsh	mu/l	3009201	Arbitrary Concentration	APPROVED
l-lymf	%	3002030	Number Fraction	APPROVED
p-ca	mmol/l	3015377	Substance Concentration	APPROVED
ab-be	mmol/l	3003396	Substance Concentration	APPROVED
b-lymf	e9/l	3019198	Number Concentration	APPROVED
b-erblast	e9/l	3021589	Number Concentration	APPROVED
pt-papa-1		3018006	Presence or Identity	APPROVED
s-gt	u/l	3026910	Catalytic Concentration	APPROVED
p-probnp	ng/l	3029187	Mass Concentration	APPROVED
u-lier	e6/l	3030467	Number Concentration	APPROVED
-infanho		3044938	Presence or Threshold	APPROVED
s-ferrit	ug/l	3001122	Mass Concentration	APPROVED
p-uraat	umol/l	3026493	Substance Concentration	APPROVED
l-ly	%	3002030	Number Fraction	APPROVED
u-epit	e6/l	3000850	Number Concentration	APPROVED
