sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:sourceConceptId,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,ADD_INFO:testNameAbbreviation,ADD_INFO:measurementUnit,ADD_INFO:omopQuantity,ADD_INFO:sourceName_fi,ADD_INFO:notes,ADD_INFO:ignoreReason,notes,ADD_INFO:validationMessages,ADD_INFO:autoUpdatingInfo
e-mcv[fl],e-mcv[fl],4330862,,0,APPROVED,UNREVIEWED,FinOMOP,1717545600000,3024731,MCV [Entitic mean volume] in Red Blood Cells,Measurement,MAPS_TO,,Javier,1717545600000,,2002400101,LABfi_ALL Level 0,Measurement,1970-01-01,2099-12-31,,,e-mcv,fl,Entitic mean volume,"E -Erytrosyytit, keskitilavuus","[ 0, 84, 86, 88, 89, 91, 92, 93, 95, 98, _ ]",,,,2025-09-30 | conceptName changed from MCV [Entitic volume] to MCV [Entitic mean volume] in Red Blood Cells
e-mch[pg],e-mch[pg],4324399,,0,APPROVED,UNREVIEWED,FinOMOP,1717545600000,3035941,MCH [Entitic mass],Measurement,MAPS_TO,,Javier,1717545600000,,2002400102,LABfi_ALL Level 0,Measurement,1970-01-01,2099-12-31,,,e-mch,pg,Entitic mass,"E -Hemoglobiini, keskimassa","[ 0, 27, 29, 29, 30, 30, 31, 31, 32, 33, _ ]",,,,
b-hb[g/l],b-hb[g/l],4303887,,0,APPROVED,UNREVIEWED,FinOMOP,1717545600000,3000963,Hemoglobin [Mass/volume] in Blood,Measurement,MAPS_TO,,Javier,1717545600000,,2002400103,LABfi_ALL Level 0,Measurement,1970-01-01,2099-12-31,,,b-hb,g/l,Mass Concentration,B -Hemoglobiini,"[ 0, 100, 112, 120, 127, 132, 136, 141, 146, 154, _ ]",,,,
b-eryt[e12/l],b-eryt[e12/l],3822310,,0,APPROVED,UNREVIEWED,FinOMOP,1717545600000,3026361,Erythrocytes [#/volume] in Blood,Measurement,MAPS_TO,,Javier,1717545600000,,2002400104,LABfi_ALL Level 0,Measurement,1970-01-01,2099-12-31,,,b-eryt,e12/l,Number Concentration,B -Erytrosyytit,"[ 0, 3.38, 3.78, 4.04, 4.24, 4.4, 4.57, 4.7, 4.9, 5.13, _ ]",,,,
b-trom[e9/l],b-trom[e9/l],3733189,,0,APPROVED,UNREVIEWED,FinOMOP,1717545600000,3007461,Platelets [#/volume] in Blood,Measurement,MAPS_TO,,Javier,1717545600000,,2002400105,LABfi_ALL Level 0,Measurement,1970-01-01,2099-12-31,,,b-trom,e9/l,Number Concentration,B -Trombosyytit,"[ 0, 158, 190, 212, 231, 249, 269, 292, 322, 373, _ ]",,,,
b-leuk[e9/l],b-leuk[e9/l],3692427,,0,APPROVED,UNREVIEWED,FinOMOP,1717545600000,3010813,Leukocytes [#/volume] in Blood,Measurement,MAPS_TO,,Javier,1717545600000,,2002400106,LABfi_ALL Level 0,Measurement,1970-01-01,2099-12-31,,,b-leuk,e9/l,Number Concentration,B -Leukosyytit,"[ 0, 4.5, 5.2, 5.8, 6.3, 6.9, 7.6, 8.4, 9.6, 11.7, _ ]",,,,
e-mchc[g/l],e-mchc[g/l],3169213,,0,APPROVED,UNREVIEWED,FinOMOP,1717545600000,3003338,MCHC [Entitic Mass/volume] in Red Blood Cells,Measurement,MAPS_TO,,Javier,1717545600000,,2002400107,LABfi_ALL Level 0,Measurement,1970-01-01,2099-12-31,,,e-mchc,g/l,Entitic Mass/volume,"E -Hemoglobiini, keskimassakonsentraatio","[ 0, 316, 322, 326, 329, 332, 335, 338, 342, 347, _ ]",,,,2025-09-30 | conceptName changed from MCHC [Mass/volume] to MCHC [Entitic Mass/volume] in Red Blood Cells
p-krea[umol/l],p-krea[umol/l],2980408,,0,APPROVED,UNREVIEWED,FinOMOP,1717545600000,3020564,Creatinine [Moles/volume] in Serum or Plasma,Measurement,MAPS_TO,,Javier,1717545600000,,2002400108,LABfi_ALL Level 0,Measurement,1970-01-01,2099-12-31,,,p-krea,umol/l,Substance Concentration,P -Kreatiniini,"[ 5, 52, 59, 65, 70, 75, 81, 88, 100, 126, _ ]",,,,
p-k[mmol/l],p-k[mmol/l],2832956,,0,APPROVED,UNREVIEWED,FinOMOP,1717545600000,3023103,Potassium [Moles/volume] in Serum or Plasma,Measurement,MAPS_TO,,Javier,1717545600000,,2002400109,LABfi_ALL Level 0,Measurement,1970-01-01,2099-12-31,,,p-k,mmol/l,Substance Concentration,P -Kalium,"[ 0, 3.5, 3.7, 3.8, 3.9, 4, 4.1, 4.2, 4.3, 4.5, _ ]",,,,
e-rdw[%],e-rdw[%],2587085,,0,APPROVED,UNREVIEWED,FinOMOP,1717545600000,3002385,Erythrocyte [DistWidth] in Red Blood Cells,Measurement,MAPS_TO,,Javier,1717545600000,,2002400110,LABfi_ALL Level 0,Measurement,1970-01-01,2099-12-31,,,e-rdw,%,DistWidth,E -Punasolujen kokojakauma,"[ 0, 12.2, 13, 13, 13.2, 14, 14, 15, 15.2, 17, _ ]",,,,2025-09-30 | conceptName changed from Erythrocyte distribution width [Ratio] to Erythrocyte [DistWidth] in Red Blood Cells
b-hkr[ratio],b-hkr[ratio],2010760,,0,APPROVED,UNREVIEWED,Tarja,1717545600000,3009542,Hematocrit [Volume Fraction] of Blood by calculation,Measurement,MAPS_TO,,Javier,1717545600000,,2002400111,LABfi_ALL Level 0,Measurement,1970-01-01,2099-12-31,,,b-hkr,ratio,Volume Fraction,"B -Erytrosyytit, tilavuusosuus","[ 0.08, 0.31, 0.34, 0.36, 0.38, 0.4, 0.41, 0.42, 0.44, 0.46, _ ]",,,,2025-09-30 | conceptName changed from Hematocrit [Volume Fraction] of Blood to Hematocrit [Volume Fraction] of Blood by calculation
b-hkr[%],b-hkr[%],1841478,,0,APPROVED,UNREVIEWED,FinOMOP,1717545600000,3009542,Hematocrit [Volume Fraction] of Blood by calculation,Measurement,MAPS_TO,,Javier,1717545600000,,2002400112,LABfi_ALL Level 0,Measurement,1970-01-01,2099-12-31,,,b-hkr,%,Volume Fraction,"B -Erytrosyytit, tilavuusosuus","[ 0, 30, 34, 37, 38, 40, 41, 42, 44, 46, _ ]",,,,2025-09-30 | conceptName changed from Hematocrit [Volume Fraction] of Blood to Hematocrit [Volume Fraction] of Blood by calculation
p-crp[mg/l],p-crp[mg/l],1724430,,0,APPROVED,UNREVIEWED,FinOMOP,1717545600000,3020460,C reactive protein [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,,Javier,1717545600000,,2002400113,LABfi_ALL Level 0,Measurement,1970-01-01,2099-12-31,,,p-crp,mg/l,Mass Concentration,P -C-reaktiivinen proteiini,"[ 0, 3, 5, 8, 13, 22, 34, 53, 81, 133, _ ]",,,,
p-alat[u/l],p-alat[u/l],1695458,,0,APPROVED,UNREVIEWED,FinOMOP,1717545600000,3006923,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Measurement,MAPS_TO,,Javier,1717545600000,,2002400114,LABfi_ALL Level 0,Measurement,1970-01-01,2099-12-31,,,p-alat,u/l,Catalytic Concentration,P -Alaniiniaminotransferaasi,"[ 0, 13, 15, 18, 21, 24, 27, 33, 41, 61, _ ]",,,,
