MEASUREMENT_UNIT	OMOP_ID	UNIQUE_FOR_LAB
vol%	8554	TRUE
titre	8525	TRUE
umol/24h	8907	TRUE
umol/l	8749	TRUE
mol/l	9586	TRUE
ratio	8523	TRUE
kg/l	9530	TRUE
%/lymf	9228	TRUE
u/field	8786	TRUE
ug/min	8774	TRUE
mg/24h	8909	TRUE
g/24h	8807	TRUE
ug/g	8720	TRUE
ug/l	8748	TRUE
pg/cell	8704	TRUE
eliau/ml	8980	TRUE
%m	8554	TRUE
%l	8554	TRUE
%g	9503	TRUE
ml/h	44777613	TRUE
x	8524	TRUE
l/min	8698	TRUE
bpm	8541	TRUE
l	8519	TRUE
nmol/24h	44777627	TRUE
ml/s/173m2	44777614	TRUE
mg/mmol	44777612	TRUE
mg/gkuivap	44777608	TRUE
cmh2o	44777590	TRUE
mu/l	44777578	TRUE
estimate	0	TRUE
°c	586323	TRUE
l/s	32700	TRUE
ug	9655	TRUE
miu/ml	9550	TRUE
m	9546	TRUE
point	9384	TRUE
bakt/ml	9257	TRUE
fio2%	9230	TRUE
ml/min/173m2	720870	TRUE
ve/ml	8980	TRUE
ml/24h	8930	TRUE
mmol/24h	8910	TRUE
copies/ml	8799	TRUE
mmol/l/ph74	8753	TRUE
%hbsta	8737	TRUE
cpm	8483	TRUE
jdfu	8560	TRUE
promille	9154	TRUE
mosm/kgh2o	8991	TRUE
inr	8523	TRUE
cp(37c)	8479	TRUE
e8/kg	9252	TRUE
ml/min/a	32710	TRUE
mg/gkrea	9017	TRUE
mom	8494	TRUE
mg/g	8723	TRUE
cfu	9278	TRUE
kiu/l	9058	TRUE
mpl	9101	TRUE
y	9448	TRUE
e12/l	8734	TRUE
eu	8480	TRUE
mmol/l	8753	TRUE
e8	9443	TRUE
mg/ml	8861	TRUE
mg/l	8751	TRUE
ml/min	8795	TRUE
ph	8482	TRUE
u/h	8630	TRUE
%	8554	TRUE
nmol/l	8736	TRUE
umol/kg	9609	TRUE
u/24h	44777567	TRUE
ku/l	8810	TRUE
u/g	8629	TRUE
mmol	9573	TRUE
gpl	9100	TRUE
umol/min	44777655	TRUE
nmol/g	9609	TRUE
u/ml	8763	TRUE
sgu	8610	TRUE
mmhg	8876	TRUE
mm	8588	TRUE
ugeq/ml	9046	TRUE
umol/mol	9674	TRUE
ng/l	8725	TRUE
score	44777566	TRUE
mm/h	8752	TRUE
umol	9667	TRUE
u/mg	45891030	TRUE
e6/kg	9256	TRUE
e9/l	9444	TRUE
miu/l	9040	TRUE
index	8779	TRUE
eu/ml	8695	TRUE
pmol/l	8729	TRUE
mmol/g	9576	TRUE
eiu	8556	TRUE
ml/s	44777614	TRUE
u/l	8645	TRUE
ml/dl	9570	TRUE
g/l	8636	TRUE
ml/min/s	720870	TRUE
min	8550	TRUE
m2	8617	TRUE
kg	9529	TRUE
o/oo	9154	TRUE
kpa	44777602	TRUE
ng/ml	8842	TRUE
ug/l/h	9020	TRUE
kpl/nk	8786	TRUE
pg/ml	8845	TRUE
mmol/mol	9579	TRUE
osuus	8523	TRUE
g	8504	TRUE
bu/ml	44777562	TRUE
ml	8587	TRUE
au/ml	8980	TRUE
mpas	44777622	TRUE
mg	8576	TRUE
iu	8718	TRUE
cm	8582	TRUE
fl	8583	TRUE
ml/ml	45891033	TRUE
s	8555	TRUE
nmol	9607	TRUE
mosm/kg	8862	TRUE
apl	9099	TRUE
iu/l	8923	TRUE
ug/gkre	9014	TRUE
ifu/l	44777561	TRUE
ug/ml	8859	TRUE
spu/ml	8985	TRUE
u	8510	TRUE
h	8505	TRUE
e6/l	9442	TRUE
g/mol	44777595	TRUE
e6	8549	TRUE
pg	8564	TRUE
iu/ml	8985	TRUE
pg/g	9602	TRUE
suhde	8523	TRUE
pg/solu	8704	FALSE
l/m	8698	FALSE
titteri	8525	FALSE
yks	8510	FALSE
u/l37°c	8645	FALSE
hengenvetoa/min	8541	FALSE
e09/l	9444	FALSE
pistett	9384	FALSE
gpl-yks	9100	FALSE
moskg/kgh2o	8991	FALSE
ml/vrk	8930	FALSE
umol/vrk	8907	FALSE
kopiota/ml	8799	FALSE
kopiot/ml	8799	FALSE
gekv/ml	8799	FALSE
indeksi	8779	FALSE
mmo/l	8753	FALSE
pmoll	8729	FALSE
mmol/vrk	8910	FALSE
ml/min/17	720870	FALSE
ng/min	0	FALSE
umol/m2	0	FALSE
10e8/kg	9252	FALSE
peske	9278	FALSE
t	8505	FALSE
v	9448	FALSE
10e12/l	8734	FALSE
g/kery	8504	FALSE
10e8	9443	FALSE
yks/ml	8763	FALSE
tunti	8505	FALSE
u/tunti	8630	FALSE
mg/vrk	8909	FALSE
u/vrk	44777567	FALSE
nmol/	8736	FALSE
c	586323	FALSE
tiitteri	8525	FALSE
jdf-u	8560	FALSE
yks/mg	45891030	FALSE
10e6/kg	9256	FALSE
10e9/l	9444	FALSE
ug/g/kre	9014	FALSE
nmol/h/	0	FALSE
(suhde)	8523	FALSE
ui/ml	8985	FALSE
cp	8479	FALSE
g/vrk	8807	FALSE
kopio/ml	8799	FALSE
if-yks/l	44777561	FALSE
sek	8555	FALSE
10e6/l	9442	FALSE
titt	8525	FALSE
10e6	8549	FALSE
