MEASUREMENT_FREE_TEXT	extracted::IS_POS	COUNT	ratio_COUNT	Npeople	ratio_Npeople	NOTES																			
NEGAT	0	2917110	1	272065	1	NA																			
negat	0	2446386	1	202896	1	NA																			
neg	0	952660	1	129120	1	NA																			
NEG	0	896553	1	162345	1	NA																			
Negat	0	835661	1	192609	1	NA																			
Negat.	0	571755	1	123388	1	NA																			
Neg	0	316151	1	77194	1	NA																			
A RhD pos	NA	162256	1	63744	1	NA																			
O RhD pos	NA	119649	1	46419	1	NA																			
Posit.	1	106263	1	50905	1	NA																			
-(neg)	0	105855	1	32730	1	NA																			
NEGAT.	0	105509	1	9210	1	NA																			
Negatiivinen	0	104993	1	42920	1	NA																			
POSIT	1	89597	1	60179	1	NA																			
Posit	1	69473	1	56468	1	NA																			
posit	1	65802	1	36240	1	NA																			
B RhD pos	NA	63539	1	25078	1	NA																			
negat.	0	55268	1	31524	1	NA																			
POS	1	48959	1	31174	1	NA																			
SEULPOS	1	36372	1	14616	1	NA																			
negative	0	35175	1	2783	1	NA																			
Tutkimuksen tulos: NEGAT	0	34600	1	8577	1	NA																			
seulneg	0	30464	1	9764	1	check testID --> OK																			
AB RhD pos	NA	30192	1	11980	1	NA																			
A RhD neg	NA	28090	1	9275	1	NA																			
NEGATIVE	0	26857	1	2581	1	NA																			
negatiivinen	0	25023	1	18401	1	NA																			
NEG Arvio	0	23604	1	10610	1	NA																			
POSIT*	1	22689	1	16654	1	NA																			
pos	1	22436	1	11216	1	NA																			
O RhD neg	NA	20908	1	7073	1	NA																			
Pos	1	19284	1	10556	1	NA																			
Positiivinen	1	15510	1	13944	1	NA																			
Tutkimuksen tulos: NEG	0	14129	1	4773	1	NA																			
+(pos)	1	12333	1	5898	1	NA																			
B RhD neg	NA	11056	1	3637	1	NA																			
Tutkimuksen tulos: Negat.	0	10466	1	3096	1	NA																			
Tutkimuksen tulos: negat	0	10227	1	4083	1	NA																			
Resultat: NEGAT	0	9058	1	687	1	NA																			
A Rh(D)pos	NA	8106	1	5148	1	NA																			
A Rh POS	NA	7592	1.081	6571	1.082	NA																			
Tutkimuksen tulos: Negatiivinen	0	7467	1	3328	1	NA																			
Negative	0	7196	1	1117	1	NA																			
Tutkimuksen tulos: neg	0	7183	1	1578	1	NA																			
2 vrk neg.	0	7062	1	3672	1	check testID --> OK																			
POSIT.	1	6488	1	1776	1	NA																			
O Rh(D)pos	NA	6457	1	3999	1	NA																			
NEGAT pmy/ml	0	6426	1	4068	1	NA																			
neg.	0	6252	1	1914	1	NA																			
NEGATIIVINEN	0	6079	1	2895	1	NA																			
Provresultat: Negat	0	5706	1	735	1	NA																			
O Rh POS	NA	5630	1.085	4733	1.086	NA																			
AB RhD neg	NA	5619	1	1834	1	NA																			
Tutkimuksen tulos: Neg	0	5457	1	3144	1	NA																			
Neg.	0	5195	1	669	1	NA																			
posit*	1	4989	1	2278	1	NA																			
positiivinen	1	4981	1	4796	1	NA																			
Negatiiv	0	4698	1	1754	1	NA																			
Tehty NEGAT	0	4120	1	3709	1	NA																			
Posit.*	1	3974	1	2973	1	NA																			
NEGAT Vastaus perustuu bakteeri- ja leukosyyttilaskentaan.	0	3842	1	3458	1	NA																			
Resultat: neg	0	3662	1	1029	1	NA																			
B Rh(D)pos	NA	3101	1	2054	1	NA																			
Negat. Vastaus annettu solulaskenta-analysaattorin tuloksen perusteella.	NA	3095	1	2766	1	NA																			
<0.35 Negatiivinen. Herkistyminen onepätodennäköinen, mutta ei poissuljettu.	0	3017	1	577	1	NA																			
Seul negat	0	2971	1	1451	1	NA																			
Tutkimuksen tulos: Negat	0	2940	1	1387	1	NA																			
B Rh POS	NA	2932	1.084	2510	1.084	NA																			
POSITIVE	1	2644	1	1568	1	NA																			
Tehty 1. LÖYDÖS: Negatiivinen	0	2516	1	2323	1	NA																			
Posit*	1	2456	1	1594	1	NA																			
Provresultat: neg	0	2427	1	520	1	NA																			
Tehty; NEGATIIVINEN	0	2306	1.003	1643	1.001	NA																			
-(negat)	0	1954	1	1887	1	NA																			
POSITIVE*	1	1906	1	799	1	NA																			
POSIT.*	1	1732	1	377	1	NA																			
Neisseria gonorrhoeae negatiivinenChlamydia trachomatis negatiivinen	0	1710	1	1202	1	how did we map these package tests (ANSWER: we did NOT!)																			
Resultat: Neg.	0	1663	1	319	1	NA																			
ABRh(D)pos	NA	1565	1	933	1	NA																			
pos*	1	1561	1	667	1	NA																			
negat U/ml	0	1547	1	1399	1	NA																			
Seul posit	1	1535	1	1122	1	check testID --> OK																			
Viljely Seulontatulos positiivinen solulaskennan perusteella. Jatkoviljelyn tulos vastataan myöhemmin tutkimukselle U -BaktSJVi.	NA	1474	1	1252	1	NA																			
AB Rh POS	NA	1427	1.087	1232	1.09	NA																			
Resultat: pos	1	1238	1	549	1	NA																			
posit.	1	1191	1	874	1	NA																			
Tutkimuksen tulos: NEGATNäytelaatu:Nenänieluerite	0	1149	1	1004	1	NA																			
A Rh(D)neg	NA	1122	1	684	1	NA																			
A Rh NEG	NA	1100	1.096	914	1.089	NA																			
NEGATNäytteen laatu:nenänielu	0	1094	1	768	1	NA																			
Negatiivinen tulos ei poissulje primaarivaiheen syfilistä	0	1083	1	887	1	NA																			
positive	1	1077	1	559	1	NA																			
Tutkimuksen tulos: negatiivinen	0	1073	1	815	1	NA																			
Vastaus: neg	0	1061	1	280	1	NA																			
NEGAT U/ml	0	1039	1	948	1	NA																			
GRAM-VÄRJ:: ; AER.VILJ:: NEGATIIVINEN; ANAER.VI:: NEGATIIVINEN; SIENI-VI:: ; HERKKYYS:: ; NhO::	NA	1034	1	570	1	Package, so information needs to be unpacked																			
posit pmy/ml	1	1020	1	626	1	NA																			
1. LÖYDÖS: (Viljely) NEGATIIVINEN	0	1015	1	732	1	NA																			
NEGAT HPV 16 - NegatiivinenHPV 18 - NegatiivinenMuut korkean riskin HPV-tyypit(31,33,35,39,45,51,52,56,58,59,66,68) -Negatiivinen	NA	1007	1	1003	1	Package, so information needs to be unpacked																			
Provresultat: NEG	0	981	1	472	1	NA																			
Resultat: NEGAT Lomake	0	957	1	479	1	NA																			
NEG E6/L	0	955	1	782	1	NA																			
SARS-CoV-2-nukleiinihappo-osoitus negatiivinen.	0	941	1	695	1	NA																			
Nukleiinihaponosoitukset negatiiviset.	0	940	1	637	1	NA																			
NEG IU/ml	0	922	1	514	1	NA																			
Provresultat: NEGAT	0	917	1	405	1	NA																			
NEGAT Titteri	0	915	1	649	1	NA																			
Neg E6/L	0	912	1	752	1	NA																			
Tutkimuksen tulos: negatNäytelaatu:Nenänieluerite	0	905	1	808	1	NA																			
seulpos	1	871	1	300	1	check testID --> OK																			
O Rh(D)neg	NA	826	1	551	1	NA																			
1. LÖYDÖS: Negatiivinen	0	814	1	606	1	NA																			
O Rh NEG	NA	810	1.114	695	1.117	NA																			
Bakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, jatkoviljelyä ei tehdä.	NA	793	1	638	1	NA																			
Resultat: NEG Lomake	0	766	1	564	1	NA																			
Näytteenottotapa: KeskisuihkuRakkoaika: Alle 4hBakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, jatkoviljelyä ei tehdä.	0	723	1	573	1	NA																			
Resultat: neg Lomake	0	720	1	403	1	NA																			
Negat. Serokonversio HCV-infektiossa tapahtuu useimmiten vasta 3 - 4 kuukautta tartunnasta. Vasta-aineiden tutkiminen on näin ollen akuutin C-hepatiitin diagnostiikassa vain rajallisesti sovelias.	NA	701	1	555	1	NA																			
POSIT U/ml	1	687	1	483	1	NA																			
Resultat: Neg	0	660	1	173	1	NA																			
Tutkimuksen tulos: NEGATNäytelaatu:NENÄNIELUERITE	0	647	1	597	1	NA																			
Tehty Negatiivinen	0	640	1	575	1	NA																			
Tutkimuksen tulos: POSIT	1	635	1	550	1	NA																			
POS Arvio	1	632	1	438	1	NA																			
Tutkimuksen tulos: negat.	0	632	1	491	1	NA																			
POS/NEG	NA	631	1	530	1	WTF																			
POSITIIVINEN	1	627	1	605	1	NA																			
Negat. U/l	0	622	1	562	1	NA																			
Tutkimuksen tulos: Negatiivinen streptokokkiviljely.	0	588	1	500	1	NA																			
neg Arvio	0	587	1	332	1	NA																			
Vastaus: NEGAT	0	578	1	88	1	NA																			
Tutkimuksen tulos: Lausunto1. LÖYDÖS: (Viljely) NEGATIIVINEN	0	577	1	173	1	NA																			
+(pos eiA)	1	576	1	476	1	NA																			
Tutkimuksen tulos: Pos	1	557	1	441	1	NA																			
? RhD pos	NA	548	1	107	1	NA																			
Provresultat: neg Lomake	0	545	1	170	1	NA																			
Tutkimuksen tulos: NEGAT Titteri	0	539	1	505	1	NA																			
Tutkimuksen tulos: NEG Arvio	0	535	1	432	1	NA																			
Provresultat: Negat l	0	511	1	283	1	NA																			
B Rh(D)neg	NA	505	1	296	1	NA																			
Resultat: NEG	0	499	1	425	1	NA																			
<0.10 Negatiivinen. Herkistyminen onepätodennäköinen, mutta ei poissuljettu.	0	495	1	254	1	NA																			
Näytteenottotapa: KeskisuihkuBakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, jatkoviljelyä ei tehdä.	0	491	1	427	1	NA																			
Ei tehty, koska seulonta negatiivinen	NA	484	1	213	1	NA																			
Näytteenottotapa: KeskisuihkuRakkoaika: Yli 4hBakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, jatkoviljelyä ei tehdä.	0	477	1	411	1	NA																			
Tutkimuksen tulos: Negat. Serokonversio HCV-infektiossa tapahtuu useimmiten vasta 3 - 4 kuukautta sairastumisesta. Vasta-aineiden tutkiminen on näin ollen akuutin C-hepatiitin diagnostiikassa vain rajallisesti sovelias.	0	477	1	221	1	NA																			
Bakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, jatkoviljelyä ei tehdä.Virtsanäytetyyppi: PLV (Keskivirtsa)Rakkoaika: Ei tietoa	NA	458	1	418	1	Package, so information needs to be unpacked																			
Tehty; 2 VRK:N VILJELY NEGATIIVINEN Mikäli kasvua ilmenee rikastusviljelyssä,  ilmoitamme siitä noin 6 vrk:n kuluessa.	NA	453	1	296	1	Package, so information needs to be unpacked																			
Bakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, näytettäei viljellä.Virtsanäytetyyppi: PLV:aamu/&gt;4hMIKSI NÄYTE ON OTETTU?: kontr.	NA	437	1	137	1	Package, so information needs to be unpacked																			
Tutkimuksen tulos: posit	1	430	1	306	1	NA																			
NEGAT Lopullinen vastaus	0	422	1	290	1	NA																			
Tulos negatiivinen. Ei aktiiviin tai latenttiin tuberkuloosiin viittaavaa.	0	420	1	202	1	NA																			
