harmonization_omop::OMOP_ID	THRESHOLD	SIDE	UNIT	QC_NOTES	MISC	conceptName
3000081	30000	>	nmol/l	WRONG_UNIT	Probably wrong source unit	cloZAPine [Moles/volume] in Serum or Plasma
3000330	0.3	<	ratio	IMPLAUSIBLE_VALUE	NA	Specific gravity of Urine by Test strip
3000475	2000000	>	e6/l	IMPLAUSIBLE_VALUE	NA	Leukocytes [#/volume] in Synovial fluid
3000570	1000	>	ug/g	IMPLAUSIBLE_VALUE	NA	Elastase.pancreatic [Mass/mass] in Stool
3000963	500	>	g/l	IMPLAUSIBLE_VALUE	NA	Hemoglobin [Mass/volume] in Blood
3001308	0	<	mmol/l	IMPOSSIBLE_VALUE	NA	Cholesterol in LDL [Moles/volume] in Serum or Plasma
3001308	20	>	mmol/l	IMPLAUSIBLE_VALUE	NA	Cholesterol in LDL [Moles/volume] in Serum or Plasma
3001405	100000	>	e6/l	WRONG_UNIT	Probably wrong source unit	CD3+CD8+ (T8 suppressor) cells [#/volume] in Blood
3001604	100	>	e9/l	IMPOSSIBLE_VALUE	NA	Monocytes [#/volume] in Blood
3002385	0	<	%	IMPOSSIBLE_VALUE	NA	Erythrocyte distribution width [Ratio]
3002385	100	>	%	IMPOSSIBLE_VALUE	NA	Erythrocyte distribution width [Ratio]
3003245	5	>	g/l	WRONG_UNIT	Probably wrong source unit	Complement C1 esterase inhibitor [Mass/volume] in Serum or Plasma
3003338	100	<	g/l	WRONG_UNIT	Probably wrong source unit	MCHC [Mass/volume]
3003338	1000	>	g/l	WRONG_UNIT	Probably wrong source unit	MCHC [Mass/volume]
3003434	10000	>	g/l	IMPLAUSIBLE_VALUE	NA	Protein [Mass/volume] in Pleural fluid
3004410	0	<	mmol/mol	IMPOSSIBLE_VALUE	NA	Hemoglobin A1c/Hemoglobin.total in Blood
3004410	250	>	mmol/mol	WRONG_UNIT	Probably wrong source unit	Hemoglobin A1c/Hemoglobin.total in Blood
3004775	5000	>	ml	IMPLAUSIBLE_VALUE	NA	Volume in Urine collected for unspecified duration
3005772	1000	>	umol/l	WRONG_UNIT	Probably wrong source unit	Bilirubin.conjugated [Moles/volume] in Serum or Plasma
3005791	1000	>	ug/l	WRONG_UNIT	Probably wrong source unit	Eosinophil cationic protein (ECP) [Mass/volume] in Serum
3006184	600	>	g/l	IMPLAUSIBLE_VALUE	NA	Hemoglobin [Mass/volume] in Capillary blood
3006217	0	<	%	IMPOSSIBLE_VALUE	NA	Methemoglobin/Hemoglobin.total in Arterial blood
3006270	1500	>	nmol/l	IMPLAUSIBLE_VALUE	NA	Folate [Moles/volume] in Blood
3006571	100	>	%	IMPOSSIBLE_VALUE	NA	Polymorphonuclear cells/100 leukocytes in Synovial fluid
3007461	5000	>	e9/l	WRONG UNIT	Probably wrong unit for extracted values	Platelets [#/volume] in Blood
3008832	10000	>	nmol/l	WRONG_UNIT	Probably wrong source unit	Norclozapine [Moles/volume] in Serum or Plasma
3009035	10000	>	pmol/l	WRONG UNIT	Probably wrong unit for extracted values	Cobalamin (Vitamin B12) [Moles/volume] in Serum or Plasma
3009343	6	<	ph	IMPOSSIBLE_VALUE	NA	pH of Capillary blood
3009466	2500	>	umol/l	IMPLAUSIBLE_VALUE	NA	Valproate [Moles/volume] in Serum or Plasma
3009508	200	>	mmol/l	WRONG_UNIT	Probably wrong source unit	Creatinine [Moles/volume] in Urine
3009542	0	<=	%	IMPOSSIBLE_VALUE	Impossible values. Some values are exactly 0 which indicates faulty reading or something of the sort	Hematocrit [Volume Fraction] of Blood
3009542	100	>	%	IMPOSSIBLE_VALUE	Impossible values. They can also stem from misreported unit (ratio,5) at source	Hematocrit [Volume Fraction] of Blood
3010130	250	>	au/ml	IMPLAUSIBLE_VALUE	NA	Cytomegalovirus IgG Ab [Units/volume] in Serum or Plasma
3010517	0	<	%	IMPOSSIBLE_VALUE	NA	Carboxyhemoglobin/Hemoglobin.total in Venous blood
3010813	2000	>	e9/l	IMPLAUSIBLE_VALUE	NA	Leukocytes [#/volume] in Blood
3010838	40	>	mmol/24h	IMPLAUSIBLE_VALUE	NA	Calcium [Moles/time] in 24 hour Urine
3011412	30000	>	e6/l	IMPLAUSIBLE_VALUE	NA	CD3 cells [#/volume] in Blood [e9/l], sample-wise median
3011960	50000	>	ng/l	IMPLAUSIBLE_VALUE	NA	Natriuretic peptide B [Mass/volume] in Serum or Plasma
3012544	6	<	ph	IMPOSSIBLE_VALUE	NA	pH of Venous blood
3013707	200	>	mm/h	IMPLAUSIBLE_VALUE	NA	Erythrocyte sedimentation rate by Westergren method
3013742	5	>	g/l	WRONG UNIT	Probably wrong unit for extracted values	Prealbumin [Mass/volume] in Serum or Plasma
3014037	500	>	%	IMPLAUSIBLE_VALUE	NA	CD3+CD4+ (T4 helper) cells/100 cells in Blood
3014043	100	>	%	IMPOSSIBLE_VALUE	NA	Spermatozoa Nonprogressive/100 spermatozoa in Semen
3014576	30	<	mmol/l	IMPLAUSIBLE_VALUE	NA	Chloride [Moles/volume] in Serum or Plasma
3015377	15	>	mmol/l	IMPLAUSIBLE_VALUE	NA	Calcium [Moles/volume] in Serum or Plasma
3015736	4	<	ph	IMPLAUSIBLE_VALUE	NA	pH of Urine
3015736	10	>	ph	IMPLAUSIBLE_VALUE	NA	pH of Urine
3016431	5	>	mmol/l	IMPOSSIBLE_VALUE	NA	Calcium.ionized [Moles/volume] adjusted to pH 7.4 in Serum or Plasma
3016502	102	>	%	IMPLAUSIBLE_VALUE	NA	Oxygen saturation in Arterial blood
3016750	2000	>	min	WRONG UNIT	Probably wrong unit for extracted values	Collection duration of Urine
3016771	1000000	>	u/l	WRONG_UNIT	Probably wrong source unit	Amylase [Enzymatic activity/volume] in Serum or Plasma
3017044	1000	>	iu/l	WRONG_UNIT	Probably wrong source unit	Thyrotropin receptor Ab [Units/volume] in Serum
3017766	1	>	g/l	WRONG UNIT	Probably wrong unit for extracted values	Complement C4 [Mass/volume] in Serum or Plasma
3018251	100	>	mmol/l	WRONG_UNIT	Probably wrong source unit	Fasting glucose [Moles/volume] in Serum or Plasma
3018405	40	>	mmol/l	IMPLAUSIBLE_VALUE	NA	Lactate [Moles/volume] in Arterial blood
3018418	2	<	ph	IMPLAUSIBLE_VALUE	NA	pH of Serum or Plasma
3018418	10	>	ph	IMPLAUSIBLE_VALUE	NA	pH of Serum or Plasma
3019150	0.5	<	kg/l	WRONG_UNIT	Probably wrong source unit	Specific gravity of Urine by Refractometry
3019150	2	>	kg/l	WRONG_UNIT	Probably wrong source unit	Specific gravity of Urine by Refractometry
3019420	1000	>	ug/l	WRONG UNIT	Probably wrong unit for extracted values	Tryptase [Mass/volume] in Serum or Plasma
3019550	75	<	mmol/l	IMPLAUSIBLE_VALUE	Probably wrong source unit	Sodium [Moles/volume] in Serum or Plasma
3019550	10000	>	mmol/l	WRONG_UNIT	Probably wrong source unit	Sodium [Moles/volume] in Serum or Plasma
3019800	1000000	>	ng/l	IMPLAUSIBLE_VALUE	NA	Troponin T.cardiac [Mass/volume] in Serum or Plasma
3019897	1	<	%	IMPLAUSIBLE_VALUE	NA	Erythrocyte distribution width [Ratio] by Automated count
3020427	10	>	iu/ml	IMPLAUSIBLE_VALUE	NA	Coagulation factor X inhibitor [Units/volume] in Platelet poor plasma by Coagulation assay
3020460	1000	>	mg/l	WRONG_UNIT	Probably wrong source unit	C reactive protein [Mass/volume] in Serum or Plasma
3020564	10000	>	umol/l	WRONG_UNIT	Probably wrong source unit	Creatinine [Moles/volume] in Serum or Plasma
3020682	10000	>	mg/mmol	IMPOSSIBLE_VALUE	NA	Albumin/Creatinine [Ratio] in Urine
3020717	40	>	umol/l	WRONG UNIT	Probably wrong unit for extracted values	Zinc [Moles/volume] in Serum or Plasma
3021347	3	>	mmol/l	IMPLAUSIBLE_VALUE	NA	Calcium.ionized [Moles/volume] in Serum or Plasma
3022217	15	>	NA	IMPLAUSIBLE_VALUE	NA	INR in Platelet poor plasma by Coagulation assay
3022621	3	<	ph	IMPLAUSIBLE_VALUE	NA	pH of Urine by Test strip
3022621	10	>	ph	IMPOSSIBLE_VALUE	NA	pH of Urine by Test strip
3022756	1	<	mg/l	WRONG_UNIT	Wrong unit for harmonized value at source	Ceruloplasmin [Mass/volume] in Serum or Plasma
3022756	5000	>	mg/l	IMPOSSIBLE_VALUE	NA	Ceruloplasmin [Mass/volume] in Serum or Plasma
3022948	1000	>	umol/l	IMPOSSIBLE_VALUE	NA	Iron [Moles/volume] in Serum or Plasma
3023081	0	<	%	IMPOSSIBLE_VALUE	NA	Carboxyhemoglobin/Hemoglobin.total in Blood
3023103	50	>	mmol/l	IMPLAUSIBLE_VALUE	Probably wrong unit for extracted values	Potassium [Moles/volume] in Serum or Plasma
3023602	15	>	mmol/l	IMPLAUSIBLE_VALUE	NA	Cholesterol in HDL [Moles/volume] in Serum or Plasma
3024561	60	>	g/l	IMPOSSIBLE_VALUE	NA	Albumin [Mass/volume] in Serum or Plasma
3024731	0	<=	fl	IMPOSSIBLE_VALUE	NA	MCV [Entitic volume]
3024731	2000	>	fl	IMPOSSIBLE_VALUE	NA	MCV [Entitic volume]
3024889	0	<	%	IMPOSSIBLE_VALUE	NA	Methemoglobin/Hemoglobin.total in Venous blood
3024889	100	>	%	WRONG_UNIT	Probably wrong source unit	Methemoglobin/Hemoglobin.total in Venous blood
3025271	10	<	e6/l	WRONG_UNIT	Probably wrong source unit	CD3-CD16+CD56+ (Natural killer) cells [#/volume] in Blood
3026361	0.5	<	e12/l	IMPOSSIBLE_VALUE	Issue with wrong mapping that can be addressed here for the time being	Erythrocytes [#/volume] in Blood
3026361	10	==	e12/l	EXTRACTION_ISSUE	10E12/l gets extracted as 10. Ambguous free text entry	Erythrocytes [#/volume] in Blood
3026361	20	>	e12/l	IMPLAUSIBLE_VALUE	NA	Erythrocytes [#/volume] in Blood
3026493	10000	>	umol/l	WRONG_UNIT	Probably wrong source unit	Urate [Moles/volume] in Serum or Plasma
3026782	0	<	mosm/kgh2o	IMPOSSIBLE_VALUE	NA	Osmolality of Urine
3030366	40	>	mg/l	IMPLAUSIBLE_VALUE	NA	Cystatin C [Mass/volume] in Serum or Plasma
3031309	200	>	%	IMPOSSIBLE_VALUE	NA	Prolactin monomeric/Prolactin.total in Serum or Plasma [%], sample-wise median
3032080	10	>	inr	IMPLAUSIBLE_VALUE	NA	INR in Blood by Coagulation assay
3035941	0	<	pg	IMPOSSIBLE_VALUE	NA	MCH [Entitic mass]
3037121	100000	>	mg/l	IMPOSSIBLE_VALUE	Mismathc of units	Protein [Mass/volume] in Urine
3039000	0	<	mmol/l	IMPOSSIBLE_VALUE	NA	Anion gap in Blood
3039429	50000	>	nmol/l	IMPOSSIBLE_VALUE	NA	Cortisol [Moles/volume] in Saliva (oral fluid)
3040151	0	<	mmol/l	IMPOSSIBLE_VALUE	NA	Glucose [Moles/volume] in Capillary blood
3040151	75	>	mmol/l	IMPLAUSIBLE_VALUE	NA	Glucose [Moles/volume] in Capillary blood
3041449	3	>	ug/l	WRONG_UNIT	Probably wrong source unit	Collagen crosslinked C-telopeptide [Mass/volume] in Serum or Plasma
3043409	20	>	mmol/l	IMPOSSIBLE_VALUE	NA	Potassium [Moles/volume] in Arterial blood
3046279	10000	>	ug/l	WRONG_UNIT	Probably wrong source unit	Procalcitonin [Mass/volume] in Serum or Plasma
3048816	5	>	mmol/l	IMPLAUSIBLE_VALUE	NA	Calcium.ionized [Moles/volume] adjusted to pH 7.4 in Blood
3050449	100000	>	ug/min	IMPLAUSIBLE_VALUE	NA	Albumin [Mass/time] in Urine collected for unspecified duration
3051014	100	>	u/field	IMPLAUSIBLE_VALUE	NA	Leukocytes [#/area] in Urine sediment by Automated count
40764999	400	>	ml/min/173m2	IMPLAUSIBLE_VALUE	NA	Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)
40771025	10000	>	nmol/l	WRONG_UNIT	Probably wrong source unit	25-Hydroxyvitamin D3+25-Hydroxyvitamin D2 [Moles/volume] in Serum or Plasma
43054903	300	>	pmol/l	IMPLAUSIBLE_VALUE	NA	Holo-transcobalamin II [Moles/volume] in Serum
46236952	400	>	ml/min/173m2	IMPLAUSIBLE_VALUE	NA	Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD) [ml/min/173m2], sample-wise median
1002102	NA	NA	ug/l	NA	NA	Choriogonadotropin.intact+Beta subunit [Mass/volume] in Serum or Plasma
1175426	NA	NA	%	NA	NA	CD3 cells/100 lymphocytes in Blood
3000012	NA	NA	%	NA	NA	Reticulocyte production index
