CODE	NAME	COUNT	SOURCE
NA	NA	96029725	NA
1.2.246.537.6.3.2006	NA	50518028	NA
3575029	CGI_Suomi_Oy	28428497	PRH
15675350	HUS_Helsingin_yliopistollinen_sairaala	15183181	PTV
23925196	Fimlab_Laboratoriot_Oy	13907259	PRH
7259015	Kymenlaakso	3845141	MANUAL
3493883	Pohjanmaa	3382562	MANUAL
32210651	Varsinais-Suomi	3129214	MANUAL
7259373	Etelä-Karjala	2974157	MANUAL
32213166	Pohjois-Savo	2508642	MANUAL
32213086	Pirkanmaa	2035559	MANUAL
24838684	NordLab	1844428	MANUAL
32213182	Keski-Suomi	1739532	MANUAL
2156068	Päijät-Hämeen_hyvinvointikuntayhtymä	1626505	MANUAL
8282559	VSSHP_ky	1613515	MANUAL
32213473	Länsi-Uusimaa	1179615	MANUAL
1714953	Äitiys-_ja_ehkäisyneuvola,_Juankosken_ta,_Kuopio_perusturva	1154874	MANUAL
2012566	Helsinki	1150626	MANUAL
32213094	Päijät-Häme	1094186	MANUAL
1.2.246.537.6.3	NA	1087032	NA
2159787	KSSHP	859137	MANUAL
1012636	Espoon_kaupunki	833437	PTV
8259156	SATSHP	822361	MANUAL
8182355	K-HSHP	788559	MANUAL
32213406	Keski-Uudenmaan_hyvinvointialue	777440	PTV
19275565	Mehiläinen_Oy	724257	PRH
32213043	Satakunta	699488	MANUAL
1876901	Business_Oulu_-liikelaitos	627145	PTV
2430960	EPSHP	605428	MANUAL
2116752	Tampereen_kaupunki	580303	PTV
2048198	Turun_kaupunki	566148	PTV
10938633	Suomen_Terveystalo_Oy	563948	PRH
32213262	Pohjois-Pohjanmaa	520114	MANUAL
1395331	Salon_kaupunki	513232	PTV
27320952	Pohjois-Karjalan_sosiaali-_ja_terveyspalvelujen_kuntayhtymä	508199	MANUAL
32213078	Kanta-Häme	473648	MANUAL
1714507	Kuopion_kaupunki	452787	PTV
32213326	Lappi	438651	MANUAL
19056522	Kainuu	434442	MANUAL
8255083	Etelä-Savon_sosiaali_-_ja_terveyspalvelujen_kuntayhtymä	389201	MANUAL
2092420	Pietarsaaren_kaupunki	372623	PTV
